region,merge
N Europe,Abies
N Europe,Acer
N Europe,Betula
N Europe,Corylus
N Europe,Fagus
N Europe,Hippophaë
N Europe,Juniperus
N Europe,Picea
N Europe,Populus
N Europe,Salix
N Europe,Sorbus
N Europe,Taxus
N Europe,Tilia
N Europe,Ulmus
N Europe,Alnus
N Europe,Carpinus
N Europe,Fraxinus 
N Europe,Pinus
N Europe,Quercus
C Europe,Abies
C Europe,Acer
C Europe,Betula
C Europe,Corylus
C Europe,Fagus
C Europe,Hippophaë
C Europe,Juniperus
C Europe,Picea
C Europe,Populus
C Europe,Salix
C Europe,Sorbus
C Europe,Taxus
C Europe,Tilia
C Europe,Ulmus
S Europe,Abies
S Europe,Acer
S Europe,Betula
S Europe,Corylus
S Europe,Fagus
S Europe,Hippophaë
S Europe,Juniperus
S Europe,Picea
S Europe,Populus
S Europe,Salix
S Europe,Sorbus
S Europe,Taxus
S Europe,Tilia
S Europe,Ulmus
